,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9
2017-02-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:30:00,0.157033833227,0.00266024994667,0.0,0.165993833227,0.0,0.0,0.180133833227,0.00924024994667,0.00924024994667
2017-02-26 08:00:00,0.22309926688,0.01890463344,0.0,0.23499926688,0.0,0.0,0.24619926688,0.02296463344,0.02296463344
2017-02-26 08:30:00,0.30641706752,0.06607095424,0.0,0.31551706752,0.0,0.03681095424,0.33021706752,0.06873095424,0.06873095424
2017-02-26 09:00:00,0.41338229856,0.10114384224,0.0,0.42528229856,0.00874384224,0.07846384224,0.43648229856,0.10786384224,0.10772384224
2017-02-26 09:30:00,0.0993201604984,0.0993201604984,0.0,0.0993201604984,0.0813939504,0.0993201604984,0.0993201604984,0.0993201604984,0.0993201604984
2017-02-26 10:00:00,0.00113259281609,0.00113259281609,0.0,0.00113259281609,0.0,0.000970793842361,0.00113259281609,0.00113259281609,0.00113259281609
2017-02-26 10:30:00,9.70793842358e-06,9.70793842358e-06,0.0,9.70793842358e-06,9.70793842358e-06,9.70793842358e-06,9.70793842358e-06,9.70793842358e-06,9.70793842358e-06
2017-02-26 11:00:00,9.7079384247e-08,9.7079384247e-08,0.0,9.7079384247e-08,9.7079384247e-08,9.7079384247e-08,9.7079384247e-08,9.7079384247e-08,9.7079384247e-08
2017-02-26 11:30:00,9.70793827548e-10,9.70793827548e-10,0.0,9.70793827548e-10,9.70793827548e-10,9.70793827548e-10,9.70793827548e-10,9.70793827548e-10,9.70793827548e-10
2017-02-26 12:00:00,9.70798552657e-12,9.70798552657e-12,0.0,9.70798552657e-12,9.70798552657e-12,9.70798552657e-12,9.70798552657e-12,9.70798552657e-12,9.70798552657e-12
2017-02-26 12:30:00,9.711342841e-14,9.711342841e-14,0.0,9.711342841e-14,9.711342841e-14,9.711342841e-14,9.711342841e-14,9.711342841e-14,9.711342841e-14
2017-02-26 13:00:00,9.94759830064e-16,9.94759830064e-16,0.0,9.94759830064e-16,9.94759830064e-16,9.94759830064e-16,9.94759830064e-16,9.94759830064e-16,9.94759830064e-16
2017-02-26 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
